91;KSTPS 4B1 KV;;400
92;VSTPS 4B1 KV;;400
93;STNA4 4B1 KV;;400
94;JBLPR 4B1 KV;;400
95;ITRSI 4B1 KV;;400
96;KHNDW 4B1 KV;;400
97;BHDRV 4B1 KV;;400
98;RAIPR 4B1 KV;;400
99;JHNOR 4B1 KV;;400
100;MPUSA 4B1 KV;;400
101;DGHAM 4B1 KV;;400
102;STP4 4B1 KV;;400
103;INDR 4B1 KV;;400
104;NAG4 4B1 KV;;400
105;BHP4 4B1 KV;;400
106;BIN4 4B1 KV;;400
107;KORAD 4_B1 KV;;400
108;BHSW4 4_B2 KV;;400
109;BBLSR 4_B2 KV;;400
110;PADG4 4_B1 KV;;400
111;KALW4 4_B1 KV;;400
112;KARGR 4_B1 KV;;400
113;LONKD 4_B1 KV;;400
114;KOYNA 4_B1 KV;;400
115;KOYN4 4_B1 KV;;400
116;KARD4 4_B1 KV;;400
117;KLPR4 4_B1 KV;;400
118;PARL2 4_B1 KV;;400
119;CHDPR 4_B1 KV;;400
120;DHUL4 4_B1 KV;;400
121;SLPR4 4_B1 KV;;400
122;ARBD4 4_B1 KV;;400
123;ASOJ 4B1 KV;;400
124;CHOR 4B1 KV;;400
125;JETP 4B1 KV;;400
126;WTPS 4B1 KV;;400
127;SOJA 4B1 KV;;400
128;UKTH 4B1 KV;;400
129;CLPI 4B1 KV;;400
130;KSOR 4B1 KV;;400
131;KNSR 4B1 KV;;400
132;BHIL4 4B1 KV;;400
133;KRBW4 4B1 KV;;400
134;GWALR 4B1 KV;;400
136;RAJGH 4B1 KV;;400
137;WARDH 4B1 KV;;400
138;SEON7 7B1 KV;;765
139;SIPAT 7B1 KV;;765
140;AKOL4 4B1 KV;;400
141;DAMOH 4B1 KV;;400
142;SGTP 4B1 KV;;400
143;GWALR 7B1 KV;;765
144;BINA7 7B1 KV;;765
145;WARDH 7B1 KV;;765
146;BLSPR 7B1 KV;;765
147;INDOR 7B1 KV;;765
148;STNA7 7B1 KV;;765
149;SASAN 7B1 KV;;765
150;KTN4 4B1 KV;;400
151;BHTPR 4B1 KV;;400
152;RAIGR 4B1 KV;;400
154;JINDL 4B1 KV;;400
155;BACHU 4B1 KV;;400
158;AMRL 4B1 KVRY;;400
159;VRSN 4B1 KV;;400
160;VADI 4B1 KV;;400
161;PIRNA 4B1 KV;;400
162;RGPPL 4B1 KV;;400
163;SJLPR 4B1 KV;;400
164;TMNR7 7B1 KV;;765
165;KOTRA 7B1 KV;;765
166;DURG7 7B1 KV;;765
167;VAPI4 4B1 KV;;400
168;BOISR 4B1 KV;;400
169;KALA4 4B1 KV;;400
170;DAMAN 4B1 KV;;400
171;ARGBD 7B1 KV;;765
172;HAZRA 4B1 KV;;400
173;VADOD 7B1 KV;;765
174;JBPR7 7B1 KV;;765
175;SOLPR 7B1 KV;;765
176;TIRO7 7B1 KV;;765
177;AKOL7 7B1 KV;;765
178;KORD7 7B1 KV;;765
179;DHUL7 7B1 KV;;765
180;BHPL7 7B1 KV;;765
181;DRMGH 7B1 KV;;765
182;PUNE7 7B1 KV;;765
183;CHMPA 7B1 KV;;765
184;EKTN7 7B1 KV;;765
185;GDRWD 7B1 KV;;765
186;REWA4 4B1 KV;;400
